Designation,Company Name,Salary,Experience,Location,Role,Skills,Qualification,Industry Type,Functional Area,Employment Type,Role Category,Address,Post By,Post Date,Website,Url,About Company,Job Description

Python Developer,Credit Suisse4.0(613 Reviews),Not Disclosed,8 - 13 years,"Pune,Pune","Back End Developer,","GIt,MySQL,python developer,Oracle,Jira,Postgress,SQL","['UG :Graduation Not Required', 'PG :Post Graduation Not Required', 'Doctorate :Doctorate Not Required']","Banking,","Engineering - Software & QA,","Full Time, Permanent",Software Development,NA,NA, 1 day ago,https://www.naukri.com/credit-suisse-jobs-careers-241704?src=jddesktop,https://www.naukri.com/credit-suisse-jobs-careers-241704?src=jddesktop,See job description.,"Job description Market Data Pune integrations team plays key role in providing automated solutions to different Market Data groups and clients. We also play critical role of setting up monitoring for Market Data infrastructure. We also manage the capacity management for all Market Data components and develop monitoring/capacity dashboards using the latest development technologies. We directly work with partners (Market Data Operations and Integration Team, Engineering team, Market Data clients) to gather requirements, document it, implement it using the latest-technologies.  As a Senior resource, you will be responsible for development of features from requirement gathering to live implementation comprising design, implementation and integration and testing of various backend and web applications. Your future colleagues  You will be working with Market Data Integration team in Pune whose focus is providing solutions to Market Data Operations and Integrations Team, Engineering team and Market Data clients. You will be working with technical team who drives technical projects from requirement gathering to implementations. You work with team who has experience on SNOW API, Data Lake, Splunk, Geneos ITRS and many more internal and Open Source tools. We are a department which values Diversity and Inclusion (D&I) and is committed to realizing the firm’s D&I ambition which is an integral part of our global cultural values.Required Candidate profile To excel in this role, you should possess:   Bachelor’s Degree in Computer Science or Engineering with proven-experience of at least minimum 7+ years of hands-on development with Python   Must have strong development experience building python backend and web development using Django/Flask framework on Linux environment   Must have experience with any database (Mysql/Oracle/PostgreSQL)   Must have experience with any SCM tool (svn/GIT)   Comfortable being part of multi-tasking, fast paced Agile/Kanban/Sprint based team for continues service delivery and support   Hands of experience with Linux shell scripting   Good to have knowledge of CSS and JS framework   Good team-player with superb communication skills, analytical and problem solving skills   Dedication to fostering an inclusive culture and value diverse perspectives  RoleBack End Developer,Industry TypeBanking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Graduation Not RequiredPG :Post Graduation Not RequiredDoctorate :Doctorate Not RequiredKey SkillsGItMySQLpython developerOracleJiraPostgressSQL"

"Immediate opening For SQL and Python Developer
",TeamLease4.0(1753 Reviews),"₹ 5,00,000 - 15,00,000 P.A. ",3 - 7 years,"Hyderabad/Secunderabad,Bangalore/Bengaluru","Software Development - Other,","SQL Development,Python Development",['UG :Any Graduate'],"Recruitment / Staffing,","Engineering - Software & QA,","Full Time, Temporary/Contractual",Software Development,"BMTC COMMERCIAL COMPLEX, 6,8, BMTC COMMERCIAL COMP, LEX, 80 FEET ROAD, KORAMANGALA, , BANGALORE, Karnataka, India",Tapaswini PanigrahiCompany Recruiter at Teamlease Servcies limited, 1 day ago,https://www.naukri.com/teamlease-jobs-careers-1499?src=jddesktop,https://www.naukri.com/teamlease-jobs-careers-1499?src=jddesktop,"Team Lease Services is one of Indias leading human resource companies offering a range of solutions to 3500+ employers for their hiring, productivity and scale challenges. Fortune India 500 company listed on the NSE & BSE, Team lease has hired 17 lac people over the last 17 years and has 2 lac+ open jobs every day.One of Indias fastest growing employers, Team lease also operates India’s first Vocational University and India’s fastest growing PPP National Apprenticeship Program.The company offers solutions to large, medium and small clients across the 3Es of employment (1.5 lac+ employees), employability (2 lac+ students) and Ease-of-doing Business (1000+ employers). http://www.teamlease.com/disclaimer.htmPlease follow the attached hyperlink to an important disclaimerhttp://www.teamlease.com/disclaimer.htm  ","Job descriptionHiGreetings !!!We have an urgent requirement for SQL and Python Developer @ Bangalore, HyderabadPlease share your profile to tapaswini.panigrahi@teamlease.comInterviews : availability on Weekdays  (Zoom/MS Links) Experience: 3-7 years;   Job Description Required Skills Mandatory 3+ years of exp Strong in SQL and Python Please fill the below details:Alt Email Id:Total .Exp:Pan card/Aadhar :Interested with Contract to hire or Deployment:Updated Resume with Photo or ID Proof Mandate:Current Company:Current Salary:Expected Salary:Notice Period (Negotiable/Buyout): ONLY IMMEDIATE or Max 7 daysReason for Change:Education:Best Regards,Tapaswini Panigrahitapaswini.panigrahi@teamlease.comRoleSoftware Development - Other,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, Temporary/ContractualRole CategorySoftware DevelopmentEducationUG :Any GraduateKey SkillsSQL DevelopmentPython DevelopmentSkills highlighted with ‘‘ are preferred keyskills"

Software Developer (Python),Greenovative Energy Pvt. Ltd.3.3(4 Reviews),Not Disclosed,3 - 7 years,Pune( Baner ),"Full Stack Developer,","Python Framework,Python,Postgresql,Python Flask,API,Microservices,sql","['UG :Any Graduate', 'PG :Any Postgraduate']","Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"Baner,Pune",NA, 3 days ago,https://www.naukri.com/greenovative-energy-jobs-careers-2878734?src=jddesktop,https://www.naukri.com/greenovative-energy-jobs-careers-2878734?src=jddesktop," Greenovative is an exemplary and leading organization spurred by technology facilitation, innovation and partnership building with a mission to reduce carbon footprints to create a better world for the future. We Equip our customers with cutting edge technology & data analytics for data driven decision, with our #uncoverenergyintelligence platform which turns data into actionable insights. At Greenovative we aim to drive high returns through digitalization by reinventing the product & services which empower our customer to monitor, diagnoses and deliver the results like never before.Our solutions have been the key facilitator of our growth and considering the same we have not only created footprints in India but also in Middle East, Africa, and Europe. We are providing actionable mission-critical insights to 200+ clients across diverse sectors such as Pharma, Automobiles, Steel, Textile, Chemicals, Cement, Oil, F& B, and other industries.","Job descriptionJob Description  Python Developer (3-6 yrs exp.)We are looking for a developer to build software using languages and technologies of the Python & .NET framework. You will create applications from scratch, configure existing systems and provide user support. In this role, you should be able to write functional code with a sharp eye for spotting defects. You should be a team player and excellent communicator. If you are also passionate about the Python, .NET framework and software design/architecture, wed like to meet you. Your goal will be to work with internal teams to design, develop and maintain software. Knowledge in Linux, gRPC, Sqlalchemy, Protocol Buffers, Redis, Kafka, SignalR, Background Services, Debugging and Optimization techniques would be an added advantage.Technical SkillsPrior experience as a Python Developer Good knowledge Django, Flask or similar Python frameworksKnowledge of ORM (Object Relational Mapper)Hands on SQL Server/Postgres or any other relational/non-relation database server.Redis, Kafka (Good to have).NET Core (Good to have)C# (Good to have)Requirements Proven experience as a Python Developer Familiarity with architecture styles/APIs (REST)  Familiarity with PostgreSQL or SQL Server Understanding of Agile methodologies Excellent troubleshooting, collaborative, coordination and communication skills  Attention to detail, critical, analytical, and problem-solving abilities. Effective at time management BSc/BA in Computer Science, Engineering or a related field Responsibilities Participate in requirements analysis  Collaborate with internal teams to produce software design and architecture  Write clean, scalable code using Python.  Test and deploy applications and systems  Revise, update, refactor and debug code  Improve existing software  Develop documentation throughout the software development life cycle (SDLC)  Serve as an expert on applications and provide technical support ProcessAt Greenovative, we will start with an induction process which demands you to go through all phases of Agile development, right from Sprint Planning, to Requirement Walkthrough, Daily Scrums, Peer Code Reviews, Automated Tests, Sprint Demos, UAT with the client and finally Deployment to production.Yes, we stress a lot on sense of ownership in everything we do.You will work in an advanced, efficient backend and frontend stacks to power high performance apps.You will learn how high-scale software design is done and then deploy it to production, cloud platforms like Azure/AWS/GCP and work on most advanced technology frameworks and databases. To achieve you need to understand Distributed Systems, Algorithms and Data Structures, Database Scaling Techniques.You should be willing to learn at a very fast pace and be a Team player.Are you ready to get your hands dirty and work firsthand?RoleFull Stack Developer,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsPython FrameworkPythonPostgresqlPython FlaskAPIMicroservicessqlSkills highlighted with ‘‘ are preferred keyskills"

Python Software Developer,Mott MacDonald4.2(254 Reviews),Not Disclosed,3 - 7 years,"Noida,Bangalore/Bengaluru","Software Development - Other,","python,Django","['UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization', 'PG :MBA/PGDM in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization']","Engineering & Construction,","Engineering - Software & QA,","Full Time, Permanent",Software Development,https://www.mottmac.com/,Gladwin NadesanSenior Talent Acquisition Specialist at Mott MacDonald Pvt Ltd, 7 days ago,https://www.naukri.com/mott-macdonald-jobs-careers-103547?src=jddesktop,https://www.naukri.com/mott-macdonald-jobs-careers-103547?src=jddesktop,"Mott MacDonald - India, part of a world  wide Mott MacDonald Group, is a leading management and engineering consultancy service provider to the industry, infrastructure and social sectors.&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;lt;br&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;gt;Our Industry and Buildings division provides engineering services to projects from concept to commissioning  viz. process, front-end, basic and detailed engineering, procurement assistance, contract management, inspection, construction and overall project management to a wide spectrum of industries such as Chemicals, Petrochemicals, Oil and Gas, Man-made Fibres, Pharmaceuticals Life sciences, Agro etc. and to a range of Buildings.","Job descriptionRoles and Responsibilities  Deliver client ready  analytics solutionData understanding, extraction, merging data from multiple sources, data preparation and transformationExploratory data analysis employing large data sets including visualizationIdentify, develop and  implement statistical techniques and algorithms that address business      requirements.Create and implement data models.Suggest the right algorithm/model to be used for specific business case.Ability to read and apply ML research papers to solve business problems.Top 3 Skills:Experience with common data  science toolkits/frameworks like Python, R, R-Shiny, NumPy, Keras, Flask,  scikit-learn, Tensorflow, Pandas, Numpy, Matplotlib, Seaborn, PyTorch.Excellent understanding of  machine learning techniques  Classification (SVM, Decision Trees,      Naive-Bayes) and Regression (linear, polynomial) algorithms.Demonstrate experience in  unsupervised techniques (clustering and anomaly) and in time-series  analysis and ForecastingDesired Candidate Profile  DJANGO experience needed   Should have experience  in database development, web portal development ML /AI skills are added  advantage AWS added advantage RoleSoftware Development - Other,Industry TypeEngineering & Construction,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any SpecializationPG :MBA/PGDM in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization, M.Tech in Any SpecializationKey SkillspythonDjangoSkills highlighted with ‘‘ are preferred keyskills"

Python Developer (Full Time Remote),TechKnowledgey Pte Ltd,"₹ 20,00,000 - 35,00,000 P.A. ",3 - 6 years,"Hyderabad/Secunderabad,Pune,Gurgaon/Gurugram","Back End Developer,","python,front end,django,git,server side,web technologies,web development,orm,javascript","['UG :Any Graduate', 'PG :Any Postgraduate']","Internet,","Engineering - Software & QA,","Full Time, Permanent",Software Development,NA,HackerTrailRecruitment Consultant at TechKnowledgey Pte Ltd, Few Hours Ago,https://www.naukri.com/techknowledgey-pte-jobs-careers-4418754?src=jddesktop,https://www.naukri.com/techknowledgey-pte-jobs-careers-4418754?src=jddesktop,"A one-stop platform and digital rewards marketplace for your customers, employees, and partners.","Job descriptionWe believe in creating change through positive reinforcement and gamification. Innovative mobile and web technology that simplifies at the heart of our business. Having established ourselves as leaders in employee rewards and wellbeing, we also provide solutions for customer loyalty, sales force incentives and channel partner engagement. As an Backend Developer, you will be responsible for managing the interchange of data between the server and the users. As a Python-Django Web Developer, your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end You should have, 3  5 years of relevant work experience Basic understanding of front-end technologies is necessary Expert in Python, with good knowledge of Python web framework Django Familiarity with some ORM (Object Relational Mapper) libraries Good understanding of server-side templating languages Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 Knowledge of user authentication and authorization between multiple systems, servers, and environments Understanding of fundamental design principles behind a scalable application Familiarity with event-driven programming in Python Able to create database schemas that represent and support business processes Strong unit test and debugging skills Proficient understanding of code versioning tools GitWriting reusable, testable, and efficient code Design and implementation of low-latency, high-availability, and performance applications Integration of user-facing elements developed by front-end developers with server side logic Integration of data storage solutionsYou make a good fit for this role if, You are pro-active. You have a can-do attitude. You take ownership of the tasks assigned to you and can multitask effectively Your notice period is not more than 15  30 daysYou have good communication (phone, email and in-person) skills You have a Bachelors degree RoleBack End Developer,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey Skillspythonfront enddjangogitserver sideweb technologiesweb developmentormjavascriptSkills highlighted with ‘‘ are preferred keyskills"
